app,URL,action,Základní_A,Základní_B,Základní_C,Základní_D,Základní_E,Stav_B,Stav_C,Stav_D,Stav_E,Vlastnictví_B,Vlastnictví_C,Vlastnictví_D,Vlastnictví_E,Přístupnost_B,Přístupnost_C,Přístupnost_D,Přístupnost_E,spec
accounts,activate/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,activate/complete/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,login/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,logout/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,password_change/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
accounts,password_change/done/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
accounts,password_reset,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,password_reset/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,password_reset/done/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,register/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,register/closed/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,register/complete/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,reset/<uidb64>/<token>/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
accounts,reset/done/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
adb,smazat/<str:ident_cely>,adb_smazat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
adb,vb/smazat/<str:ident_cely>,vb_smazat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
adb,zapsat/<str:dj_ident_cely>,adb_zapsat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
admin,/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
api,token-auth/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
api,uzivatel-info/,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
arch-z,akce/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,skrýt `Naše akce` pro <C a `Archivovat` pro <D
arch-z,akce/detail/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z,akce/detail/<str:ident_cely>/dj/<str:dj_ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z,akce/detail/<str:ident_cely>/dj/<str:dj_ident_cely>/adb/zapsat,archz_adb_zapsat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,akce/detail/<str:ident_cely>/dj/<str:dj_ident_cely>/komponenta/detail/<str:komponenta_ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z,akce/detail/<str:ident_cely>/dj/<str:dj_ident_cely>/komponenta/zapsat,archz_komponenta_zapsat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,akce/detail/<str:ident_cely>/dj/<str:dj_ident_cely>/pian/edit/<str:pian_ident_cely>,archz_pian_edit,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,Pouze pro PI1 (hardcoded).
arch-z,akce/detail/<str:ident_cely>/dj/<str:dj_ident_cely>/pian/zapsat,archz_pian_zapsat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,akce/detail/<str:ident_cely>/dj/zapsat,archz_dj_zapsat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,akce/edit/<str:ident_cely>,archz_edit,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,akce/smazat/<str:ident_cely>,archz_smazat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,akce/vedouci/smazat/<str:ident_cely>/<int:akce_vedouci_id>,archz_vedouci_smazat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,akce/vyber,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z,akce/zapsat,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
arch-z,akce/zapsat/<str:projekt_ident_cely>,archz_pripojit_do_proj,X,X,*,*,*,X,P3-P4,P3-P5,P3-P5,X,P.ours,*,*,X,*,*,*,vyloučeno pro typ průzkum
arch-z,akce/zmenit-proj-akci/<str:ident_cely>,archz_zmenit_proj,X,X,X,*,*,X,X,<AZ3,<AZ3,X,X,*,*,X,X,*,*,
arch-z,akce/zmenit-sam-akci/<str:ident_cely>,archz_zmenit_sam,X,X,X,*,*,X,X,<AZ3,<AZ3,X,X,*,*,X,X,*,*,
arch-z,autocomplete/<str:type>,,X,*,*,*,*,*,*,*,*,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,dokument/odpojit/<str:arch_z_ident_cely>/<str:ident_cely>,archz_odpojit_dokument,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,dokument/pripojit/<str:arch_z_ident_cely>,archz_pripojit_dok,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,dokument/pripojit/<str:arch_z_ident_cely>,archz_pripojit_dok_proj,X,X,*,*,*,X,AZ1,<AZ3,<AZ3,X,AZ.ours,*,*,X,*,*,*,
arch-z,dokument/pripojit/<str:arch_z_ident_cely>/<str:proj_ident_cely>,archz_pripojit_proj,X,X,*,*,*,X,AZ1,<AZ3,<AZ3,X,AZ.ours,*,*,X,*,*,*,
arch-z,mapa-dalsi-katastry,,X,*,*,*,*,AZ1,AZ1,*,*,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,mapa-zoom,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
arch-z,radek-tabulky-odkaz,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z,stav/archivovat/<str:ident_cely>,archz_archivovat,X,X,X,*,*,X,X,AZ2,AZ2,X,X,*,*,X,X,*,*,
arch-z,stav/odeslat/<str:ident_cely>,archz_odeslat,X,*,*,*,*,AZ1,AZ1,AZ1,AZ1,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z,stav/vratit/<str:ident_cely>,archz_vratit,X,X,X,*,*,X,X,>AZ1,>AZ1,X,X,*,*,X,X,*,*,
arch-z/lokalita,/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,skrýt `Naše lokality` pro <C a `Archivovat` pro <D
arch-z/lokalita,detail/<slug:slug>,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z/lokalita,detail/<slug:slug>/dj/<str:dj_ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z/lokalita,detail/<slug:slug>/dj/<str:dj_ident_cely>/komponenta/detail/<str:komponenta_ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z/lokalita,detail/<slug:slug>/dj/<str:dj_ident_cely>/komponenta/zapsat,lokalita_komponenta_zapsat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z/lokalita,detail/<slug:slug>/dj/<str:dj_ident_cely>/pian/edit/<str:pian_ident_cely>,lokalita_pian_edit,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,Pouze pro PI1 (hardcoded).
arch-z/lokalita,detail/<slug:slug>/dj/<str:dj_ident_cely>/pian/zapsat,lokalita_pian_zapsat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z/lokalita,detail/<slug:slug>/dj/zapsat,lokalita_dj_zapsat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z/lokalita,edit/<slug:slug>,lokalita_edit,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
arch-z/lokalita,vyber,,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
arch-z/lokalita,zapsat,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,skrýt `Projekty` pro B a `Administrace` pro <E
core,abort-download-temp-value,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,application-restart,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
core,data-historicka/stahnout/<str:model_name>/<str:ident_cely>/<str:timestamp>,,X,X,X,*,*,X,X,*,*,X,X,*,*,X,X,*,*,
core,data-import-progress/<str:job_id>,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
core,data-import-stop/<str:job_id>,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
core,delete-temp-value,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,check-authentication,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,id/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,mapa-pian-pas,mapa_pas,X,*,*,*,*,* | SN4,* | SN4,*,*,SN.my | *,SN.ours | *,*,*,* | SN (my),* | SN (ours),*,*,
core,mapa-pian-pas,mapa_pian,X,*,*,*,*,* | PI2,* | PI2,*,*,PI.my | *,PI.ours | *,*,*,* | PI (my),* | PI (ours),*,*,
core,metrics,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,zavřít mimo localhost
core,read-temp-value,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,rosetta/files/<str:po_filter>/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
core,rosetta/files/<str:po_filter>/<str:lang_id>/<int:idx>/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
core,rosetta/files/<str:po_filter>/<str:lang_id>/<int:idx>/download/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
core,rosetta/files/<str:po_filter>/<str:lang_id>/<int:idx>/smazat/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
core,rosetta/files/import/<str:po_filter>/<str:lang_id>/<int:idx>/,,X,X,X,X,*,X,X,X,*,X,X,X,*,X,X,X,*,
core,session/prodlouzit/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/nahrat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_model3d,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_pas,X,*,*,*,*,SN1,<SN3,<SN4,<SN4,SN.my,SN.ours,*,*,*,*,*,*,
core,soubor/nahrat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_projekt,X,X,*,*,*,X,P2-P4,<P6,<P6,X,P.ours,*,*,X,*,*,*,
core,soubor/nahrat/<str:typ_vazby>/nahradit/<str:ident_cely>/<int:file_id>,soubor_nahradit_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/<str:typ_vazby>/nahradit/<str:ident_cely>/<int:file_id>,soubor_nahradit_model3d,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/<str:typ_vazby>/nahradit/<str:ident_cely>/<int:file_id>,soubor_nahradit_pas,X,*,*,*,*,SN1,<SN3,<SN4,<SN4,SN.my,SN.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,pouze pro aktuálně oznamovaný projekt
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_model3d,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_pas,X,*,*,*,*,SN1,<SN3,<SN4,<SN4,SN.my,SN.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>,soubor_nahrat_projekt,X,X,*,*,*,X,P2-P4,<P6,<P6,X,P.ours,*,*,X,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>/<int:file_id>,soubor_nahradit_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>/<int:file_id>,soubor_nahradit_model3d,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/nahrat/odeslat/<str:typ_vazby>/<str:ident_cely>/<int:file_id>,soubor_nahradit_pas,X,*,*,*,*,SN1,<SN3,<SN4,<SN4,SN.my,SN.ours,*,*,*,*,*,*,
core,soubor/smazat-DZ/<str:typ_vazby>/<str:ident_cely>/<int:pk>,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/smazat/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_smazat_projekt,X,X,X,*,*,X,X,<P6 | >P6,<P6 | >P6,X,X,*,*,X,X,*,*,
core,soubor/smazat/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_smazat_model3d,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/smazat/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_smazat_dokument,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
core,soubor/smazat/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_smazat_pas,X,*,*,*,*,SN1,<SN3,<SN4,<SN4,SN.my,SN.ours,*,*,*,*,*,*,
core,soubor/stahnout-nahled-velky/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_projekt,X,X,*,*,*,X,P1 | P2-P6,*,*,X,* | P.ours,*,*,X,*,*,*,
core,soubor/stahnout-nahled-velky/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_model3d,X,*,*,*,*,* | D3,* | D3,*,*,D.my | *,D.ours | *,*,*,*,*,*,*,
core,soubor/stahnout-nahled-velky/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_dokument,X,*,*,*,*,* | D3,* | D3,*,*,D.my | *,D.ours | *,*,*,* | D (my),* | D (ours),*,*,
core,soubor/stahnout-nahled-velky/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_pas,X,*,*,*,*,* | SN4,* | SN4,*,*,SN.my | *,SN.ours | *,*,*,* | SN (my),* | SN (ours),*,*,
core,soubor/stahnout-nahled/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_projekt,X,X,*,*,*,X,*,*,*,X,*,*,*,X,*,*,*,
core,soubor/stahnout-nahled/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_model3d,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/stahnout-nahled/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_dokument,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/stahnout-nahled/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_nahled_pas,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
core,soubor/stahnout/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_stahnout_projekt,X,X,*,*,*,X,P1 | P2-P6,*,*,X,* | P.ours,*,*,X,*,*,*,
core,soubor/stahnout/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_stahnout_model3d,X,*,*,*,*,* | D3,* | D3,*,*,D.my | *,D.ours | *,*,*,*,*,*,*,
core,soubor/stahnout/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_stahnout_dokument,X,*,*,*,*,* | D3,* | D3,*,*,D.my | *,D.ours | *,*,*,* | D (my),* | D (ours),*,*,
core,soubor/stahnout/<str:typ_vazby>/<str:ident_cely>/<int:pk>,soubor_stahnout_pas,X,*,*,*,*,* | SN4,* | SN4,*,*,SN.my | *,SN.ours | *,*,*,* | SN (my),* | SN (ours),*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,akce_dj_zakladni,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,akce_pripojit_pian_mapa,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,akce_pripojit_pian_id,X,X,X,*,*,X,X,<AZ3,<AZ3,X,X,*,*,X,X,*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,lokalita_dj_zakladni,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,lokalita_pripojit_pian_mapa,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dj,detail/<str:typ_vazby>/<str:ident_cely>,lokalita_pripojit_pian_id,X,X,X,*,*,X,X,<AZ3,<AZ3,X,X,*,*,X,X,*,*,
dj,smazat/<str:ident_cely>,dj_smazat,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dj,zapsat/<str:arch_z_ident_cely>,,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dj,zmenit-katastr/<str:ident_cely>,dj_zmenit_katastr,X,*,*,*,*,AZ1,AZ1,<AZ3,<AZ3,AZ.my,AZ.ours,*,*,*,*,*,*,
dokument,/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,skrýt `Naše dokumenty` pro <C a `Zapsat` + `Archivovat` pro <D
dokument,autocomplete,,X,*,*,*,*,*,*,*,*,D.my,D.ours,*,*,*,*,*,*,vyloučit řadu 3D
dokument,cast/edit/<slug:slug>,dok_cast_edit,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/odpojit/<str:ident_cely>,dok_cast_odpojit,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/pripojit-arch-z/<str:ident_cely>,dok_pripojit_archz,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/pripojit-projekt/<str:ident_cely>,dok_pripojit_proj,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/smazat/<str:ident_cely>,dok_cast_smazat,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,cast/zapsat/<str:ident_cely>,dok_cast_zapsat,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,detail/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,detail/<str:ident_cely>/cast/<str:cast_ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,detail/<str:ident_cely>/cast/<str:cast_ident_cely>/komponenta/zapsat,dok_komponenta_zapsat,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,detail/<str:ident_cely>/komponenta/<str:komp_ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,dokumenty-tabulka/<str:typ_vazby>/<str:ident_cely>,dokumenty_tabulka_arch_z,X,*,*,*,*,*,*,*,*,*,*,*,*,AZ (my),AZ (ours),*,*,
dokument,dokumenty-tabulka/<str:typ_vazby>/<str:ident_cely>,dokumenty_tabulka_projekt,X,X,*,*,*,X,P1-P8,*,*,X,*,*,*,X,P (ours),*,*,
dokument,edit/<str:ident_cely>,dok_edit,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,model/,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,skrýt `Naše modely` pro <C a `Archivovat` pro <D
dokument,model/detail/<str:ident_cely>,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,model/edit/<str:ident_cely>,model_edit,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,model/mapa-3d,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,model/vyber,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,model/zapsat,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,neident-akce/smazat/<str:ident_cely>,neident_akce_smazat,X,X,X,*,*,X,X,<D3,<D3,X,X,*,*,X,X,*,*,
dokument,radek-tabulky-odkaz,,X,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
dokument,radek-tabulky-odkaz-vratit,,X,X,X,*,*,X,X,D2,D2,X,X,*,*,X,X,*,*,
dokument,smazat/<str:ident_cely>,dok_smazat,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,stav/archivovat/<str:ident_cely>,dok_archivovat,X,X,X,*,*,X,X,D2,D2,X,X,*,*,X,X,*,*,
dokument,stav/odeslat/<str:ident_cely>,dok_odeslat,X,*,*,*,*,D1,D1,D1,D1,D.my,D.ours,*,*,*,*,*,*,
dokument,stav/vratit/<str:ident_cely>,dok_vratit,X,X,X,*,*,X,X,>D1,>D1,X,X,*,*,X,X,*,*,
dokument,tvar/edit/<str:ident_cely>,dok_tvary_edit,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
dokument,tvar/smazat/<str:ident_cely>/<int:pk>,dok_tvary_smazat,X,*,*,*,*,D1,D1,<D3,<D3,D.my,D.ours,*,*,*,*,*,*,
